==> past_data/changed_flights_2026-06-01.csv <==
RH 9489_2026-06-13,RH 9489,HKC,2026-06-13,12:05,"ALA, IST",Cancelled,,departure,
MH 6104_2026-06-13,MH 6104,MAS,2026-06-13,13:20,KUL,Cancelled,,departure,
7L 1572_2026-06-13,7L 1572,AZG,2026-06-13,13:40,GYD,Cancelled,,departure,
WW 862_2026-06-13,WW 862,KXP,2026-06-13,14:45,KUL,Cancelled,,departure,
CP 156_2026-06-13,CP 156,LSI,2026-06-13,14:50,"GYD, FCO",Cancelled,,departure,
QR 8473_2026-06-13,QR 8473,QTR,2026-06-13,17:00,DOH,Cancelled,,departure,
5Y 8137_2026-06-13,5Y 8137,GTI,2026-06-13,17:15,DEL,Cancelled,,departure,
5Y 4356_2026-06-13,5Y 4356,GTI,2026-06-13,18:05,"SHJ, LGG",Cancelled,,departure,
7L 624_2026-06-13,7L 624,AZG,2026-06-13,18:25,GYD,Cancelled,,departure,
7L 648_2026-06-13,7L 648,AZG,2026-06-13,21:55,GYD,Cancelled,,departure,
D0 895_2026-06-13,D0 895,DHK,2026-06-13,23:20,"BAH, LEJ, EMA",Cancelled,,departure,
5X 001_2026-06-14,5X 001,UPS,2026-06-14,03:15,"CGN, PHL",Cancelled,,departure,
ET 3769_2026-06-14,ET 3769,ETH,2026-06-14,03:50,"EMA, ADD",Cancelled,,departure,
D0 501_2026-06-14,D0 501,DHK,2026-06-14,06:55,"BRU, EMA",Cancelled,,departure,
QY 517_2026-06-14,QY 517,BCS,2026-06-14,07:00,"ALA, LEJ",Cancelled,,departure,
F5 7614_2026-06-14,F5 7614,ATG,2026-06-14,08:55,DWC,Cancelled,,departure,
Z7 322_2026-06-14,Z7 322,CMS,2026-06-14,11:00,"ALA, TBS",Cancelled,,departure,
5Y 5579_2026-06-14,5Y 5579,GTI,2026-06-14,13:20,ICN,Cancelled,,departure,
CB 859_2026-06-14,CB 859,ABB,2026-06-14,14:00,NVI,Cancelled,,departure,
CC 4100_2026-06-14,CC 4100,ABD,2026-06-14,14:00,KGF,Cancelled,,departure,
RH 9485_2026-06-14,RH 9485,HKC,2026-06-14,16:40,"ALA, IST",Cancelled,,departure,
7L 923_2026-06-14,7L 923,AZG,2026-06-14,17:20,GYD,Cancelled,,departure,
7L 621_2026-06-14,7L 621,AZG,2026-06-14,18:25,GYD,Cancelled,,departure,
5Y 8007_2026-06-14,5Y 8007,GTI,2026-06-14,19:55,IST,Cancelled,,departure,
3G 807_2026-06-14,3G 807,WCM,2026-06-14,21:05,KUL,Cancelled,,departure,
5Y 3589_2026-06-14,5Y 3589,GTI,2026-06-14,21:20,TLV,Cancelled,,departure,
7L 692_2026-06-14,7L 692,AZG,2026-06-14,21:20,GYD,Cancelled,,departure,
CV 915_2026-06-15,CV 915,CLX,2026-06-15,00:40,"NQZ, LUX",Cancelled,,departure,
ET 3767_2026-06-15,ET 3767,ETH,2026-06-15,00:40,LGG,Cancelled,,departure,
SV 981_2026-06-15,SV 981,SVA,2026-06-15,02:00,RUH,Cancelled,,departure,
