flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
QR 8407_2026-09-06,QR 8407,QTR,2026-09-06,05:50,DOH,Dep 05:40,,,2026-09-07T16:11:06+08:00
CX 007_2026-09-06,CX 007,CPA,2026-09-06,05:55,"NQZ,LHR",Dep 06:19,,,2026-09-07T16:11:06+08:00
QY 655_2026-09-06,QY 655,BCS,2026-09-06,05:55,"GYD,LEJ",Dep 06:21,,,2026-09-07T16:11:06+08:00
3S 500_2026-09-06,3S 500,BOX,2026-09-06,06:00,LAX,Dep 06:20,,,2026-09-07T16:11:06+08:00
QR 8431_2026-09-06,QR 8431,QTR,2026-09-06,06:00,DOH,Dep 05:53,,,2026-09-07T16:11:06+08:00
QY 651_2026-09-06,QY 651,BCS,2026-09-06,06:30,"BAH,MXP,LEJ",Dep 06:40,,,2026-09-07T16:11:06+08:00
CX 072_2026-09-06,CX 072,CPA,2026-09-06,06:40,"ANC,MIA,IAH",Dep 07:12,,,2026-09-07T16:11:06+08:00
K4 255_2026-09-06,K4 255,CKS,2026-09-06,06:55,"ANC,JFK,CVG",Dep 07:16,,,2026-09-07T16:11:06+08:00
D0 501_2026-09-06,D0 501,DHK,2026-09-06,06:55,"BRU,EMA",Dep 07:04,,,2026-09-07T16:11:06+08:00
CC 4030_2026-09-06,CC 4030,ABD,2026-09-06,06:55,CMB,Dep 10:41,,,2026-09-07T16:11:06+08:00
C6 7636_2026-09-06,C6 7636,MFX,2026-09-06,07:00,TAS,Dep 12:44,,,2026-09-07T16:11:06+08:00
K4 235_2026-09-06,K4 235,CKS,2026-09-06,07:00,"ANC,CVG",Dep 07:37,,,2026-09-07T16:11:06+08:00
T8 4704_2026-09-06,T8 4704,TVR,2026-09-06,07:00,DMM,Dep 07:15,,,2026-09-07T16:11:06+08:00
RH 331_2026-09-06,RH 331,HKC,2026-09-06,07:00,BKK,Dep 01:41 (07/09/2026),,,2026-09-07T16:11:06+08:00
LD 8075_2026-09-06,LD 8075,AHK,2026-09-06,07:00,SYD,Dep 06:56,,,2026-09-07T16:11:06+08:00
QY 517_2026-09-06,QY 517,BCS,2026-09-06,07:00,"ALA,BRU",Dep 07:54,,,2026-09-07T16:11:06+08:00
CT 901_2026-09-06,CT 901,AAE,2026-09-06,07:05,ICN,Dep 07:04,,,2026-09-07T16:11:06+08:00
K4 201_2026-09-06,K4 201,CKS,2026-09-06,07:05,"ANC,CVG",Dep 07:00,,,2026-09-07T16:11:06+08:00
