flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
QR 3458_2026-09-08,QR 3458,QTR,2026-09-08,01:55,NRT,At gate 01:09,,arrival,2026-09-08T11:45:35+08:00
JL 7043_2026-09-08,JL 7043,JAL,2026-09-08,01:55,NRT,At gate 01:09,,arrival,2026-09-08T11:45:35+08:00
AA 8927_2026-09-08,AA 8927,AAL,2026-09-08,01:55,NRT,At gate 01:09,,arrival,2026-09-08T11:45:35+08:00
FJ 5473_2026-09-08,FJ 5473,FJI,2026-09-08,01:55,NRT,At gate 01:09,,arrival,2026-09-08T11:45:35+08:00
UO 623_2026-09-08,UO 623,HKE,2026-09-08,04:40,HND,At gate 04:22,,arrival,2026-09-08T11:45:35+08:00
CX 5623_2026-09-08,CX 5623,CPA,2026-09-08,04:40,HND,At gate 04:22,,arrival,2026-09-08T11:45:35+08:00
CX 427_2026-09-08,CX 427,CPA,2026-09-08,04:45,ICN,At gate 04:14,,arrival,2026-09-08T11:45:35+08:00
QF 8219_2026-09-08,QF 8219,QFA,2026-09-08,04:45,ICN,At gate 04:14,,arrival,2026-09-08T11:45:35+08:00
AA 8892_2026-09-08,AA 8892,AAL,2026-09-08,04:45,ICN,At gate 04:14,,arrival,2026-09-08T11:45:35+08:00
HB 711_2026-09-08,HB 711,HGB,2026-09-08,04:45,TPE,At gate 04:34,,arrival,2026-09-08T11:45:35+08:00
UO 769_2026-09-08,UO 769,HKE,2026-09-08,04:55,PEN,At gate 04:36,,arrival,2026-09-08T11:45:35+08:00
CX 5769_2026-09-08,CX 5769,CPA,2026-09-08,04:55,PEN,At gate 04:36,,arrival,2026-09-08T11:45:35+08:00
CX 811_2026-09-08,CX 811,CPA,2026-09-08,05:00,BOS,At gate 04:07,,arrival,2026-09-08T11:45:35+08:00
OM 5811_2026-09-08,OM 5811,MGL,2026-09-08,05:00,BOS,At gate 04:07,,arrival,2026-09-08T11:45:35+08:00
CX 829_2026-09-08,CX 829,CPA,2026-09-08,05:00,YYZ,At gate 04:11,,arrival,2026-09-08T11:45:35+08:00
UA 877_2026-09-08,UA 877,UAL,2026-09-08,05:00,SFO,At gate 04:30,,arrival,2026-09-08T11:45:35+08:00
DL 089_2026-09-08,DL 089,DAL,2026-09-08,05:05,LAX,At gate 04:05,,arrival,2026-09-08T11:45:35+08:00
CX 138_2026-09-08,CX 138,CPA,2026-09-08,05:10,SYD,At gate 05:11,,arrival,2026-09-08T11:45:35+08:00
BA 4134_2026-09-08,BA 4134,BAW,2026-09-08,05:10,SYD,At gate 05:11,,arrival,2026-09-08T11:45:35+08:00
AY 5112_2026-09-08,AY 5112,FIN,2026-09-08,05:10,SYD,At gate 05:11,,arrival,2026-09-08T11:45:35+08:00
OM 5602_2026-09-08,OM 5602,MGL,2026-09-08,05:10,SYD,At gate 05:11,,arrival,2026-09-08T11:45:35+08:00
CX 875_2026-09-08,CX 875,CPA,2026-09-08,05:10,DFW,At gate 04:33,,arrival,2026-09-08T11:45:35+08:00
